MicrobeID	Acetate kinase (acetate producer or consumer)	Bifid shunt	Acetogen pathway	Formate producer	D-lactate producer or consumer	L-lactate producer or consumer	Ethanol producer or consumer	Succinate producer	Propionate from succinate	Propionate from propane-1,2-diol	Propionate from lactate (acrylate pathway)	Propionate from threonine	Wood-Werkman cycle	Butyrate via butyryl-CoA: acetate CoA transferase	Butyrate via butyrate kinase	Butyrate from lysine via butyrate-acetoacetate CoA-transferase	Butyrate from glutarate or glutamate	Butyrate from 4-hydroxybutyrate or succinate	Hydrogen from ferredoxin oxidoreductase	Hydrogen from formate hydrogen lyase	Methanogenesis	Sulfate reducer	Isobutyrate producer	Isovalerate producer	Acetoin producer	2,3-butanediol producer	Indole producer	Phenylacetate producer	Butanol producer	Valerate producer	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6
Acinetobacter_baumannii_AB_909_05	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG19617	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2018	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2022	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2023	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2026	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2028	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2030	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG2031	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG27335	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG27339	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB_TG27343	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB0057	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_Ab11111	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB1H8	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB210	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB307_0294	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB31	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_Ab33333	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB405E4	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_Ab44444	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB4A3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB5256	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB5711	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_AB900	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
Acinetobacter_baumannii_ABIsac_ColiR	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Krieg NR. Bergey's manual of systematic bacteriology, 2nd ed., volume 2 Part B . New York: Springer, 2010, p435					
